,region,file_name,treeID,Model,point2tree_area,voxel_volume,convex_hull_volume,voxel_area,Iteration,point2tree_volume,Recon_iter,Precision,Recall,F1 Score,graham_volume,graham_Area,convex_hull_area,density_points_per_m2,num_point,bounding_box_area_m2,file
22,CULS,./CULS/plot_2_annotated.las,2118,tree_24,17.11764699,29.88,65.57201174,17.2,3400,27.72941333,3400,0.945359955,0.85413,0.897432404,37.98674739,11.95055919,18.42168,1442.349307,35560,24.654222,plot_2_annotated.las
23,CULS,./CULS/plot_2_annotated.las,2119,tree_25,40.49043179,59.552,147.6372323,39.32,3400,73.36029464,3400,0.933613896,0.82927,0.878353926,101.4190418,30.18382542,39.9301585,1538.856637,89582,58.21335,plot_2_annotated.las
24,CULS,./CULS/plot_2_annotated.las,2120,tree_26,36.87835391,54.064,260.1417474,31.16,3400,122.5434472,3400,0.902175583,0.56359,0.69377688,76.46085014,21.4602256,35.5337745,1266.953578,65086,51.37204799,plot_2_annotated.las
25,CULS,./CULS/plot_3_annotated.las,3101,tree_27,27.05772291,54.992,184.5940323,25.48,3400,102.6880309,3400,0.894234228,0.65697,0.757456755,86.59911744,18.24474461,26.209952,1722.18934,55604,32.28681,plot_3_annotated.las
26,CULS,./CULS/plot_3_annotated.las,3102,tree_28,13.90010595,25.448,54.41325672,14.72,3400,28.14134893,3400,0.958934378,0.79586,0.869819876,30.21097055,11.33226656,15.0637465,1142.517182,23986,20.993995,plot_3_annotated.las
27,CULS,./CULS/plot_3_annotated.las,3103,tree_29,26.3548537,42.264,116.8636596,25.6,3400,53.82718734,3400,0.944887312,0.76916,0.848015711,55.17524699,14.83562004,27.0985495,1165.467604,47920,41.116544,plot_3_annotated.las
28,CULS,./CULS/plot_3_annotated.las,3104,tree_30,26.62074641,55.408,149.5751197,26.16,3400,75.49202266,3400,0.89433161,0.71353,0.793765371,81.11817372,18.66924498,27.1026855,1558.608484,61693,39.582102,plot_3_annotated.las
29,CULS,./CULS/plot_3_annotated.las,3105,tree_31,13.91121941,26.4,79.37832553,13.96,3400,39.56791516,3400,0.959754531,0.713,0.818177405,29.74053033,9.502653449,13.7072115,1368.172828,28028,20.485716,plot_3_annotated.las
30,CULS,./CULS/plot_3_annotated.las,3106,tree_32,13.49740931,21.112,51.97778244,13.96,3400,21.36200254,3400,0.953506764,0.83255,0.888932617,22.22609263,6.38099885,14.1158745,1183.419886,24025,20.301332,plot_3_annotated.las
31,CULS,./CULS/plot_3_annotated.las,3107,tree_33,18.41611813,31.032,101.076625,16.52,3400,53.88726789,3400,0.939488221,0.6564,0.772836168,36.99432385,7.530278684,17.5284085,1287.564631,31498,24.463238,plot_3_annotated.las
